weaponId,assetName,displayName,description,runtimeType,level,damage,cooldown,projectileCount,projectileSpeed,pierceCount,lifeTime,spreadAngle,bounceCount,bounceMode,auraRadius,tickInterval,orbitRadius,orbitAngularSpeed,lobGravity,spinSpeed,meleeRange,meleeArc,activeDuration,prefabPath,iconPath
fireball,FireBall,火球术,向当前方向发射火球,Projectile,1,8,0.9,1,7,0,2.2,0,0,Directional,1,0.5,1.7,180,0,0,1,90,0.18,Assets/Prefab/Weapon/FireBall.prefab,Assets/Art/Sprites/Weapon/Fire-ball/fire-ball.png
fireball,FireBall,火球术,向当前方向发射火球,Projectile,2,10,0.85,1,7.2,0,2.2,0,0,Directional,1,0.5,1.7,180,0,0,1,90,0.18,Assets/Prefab/Weapon/FireBall.prefab,Assets/Art/Sprites/Weapon/Fire-ball/fire-ball.png
fireball,FireBall,火球术,向当前方向发射火球,Projectile,3,10,0.85,2,7.2,0,2.2,18,0,Directional,1,0.5,1.7,180,0,0,1,90,0.18,Assets/Prefab/Weapon/FireBall.prefab,Assets/Art/Sprites/Weapon/Fire-ball/fire-ball.png
fireball,FireBall,火球术,向当前方向发射火球,Projectile,4,12,0.8,2,7.5,1,2.3,18,0,Directional,1,0.5,1.7,180,0,0,1,90,0.18,Assets/Prefab/Weapon/FireBall.prefab,Assets/Art/Sprites/Weapon/Fire-ball/fire-ball.png
fireball,FireBall,火球术,向当前方向发射火球,Projectile,5,15,0.7,2,8,1,2.5,14,1,Directional,1,0.5,1.7,180,0,0,1,90,0.18,Assets/Prefab/Weapon/FireBall.prefab,Assets/Art/Sprites/Weapon/Fire-ball/fire-ball.png
aura,Aura,守护光环,持续伤害靠近玩家的敌人,Aura,1,2,0.5,1,0,0,99999,0,0,None,1.4,0.5,1.7,180,0,0,1,90,0.18,Assets/Prefab/Weapon/Aura.prefab,Assets/Art/Sprites/Weapon/Aura/aura.png
aura,Aura,守护光环,持续伤害靠近玩家的敌人,Aura,2,2.5,0.5,1,0,0,99999,0,0,None,1.5,0.5,1.7,180,0,0,1,90,0.18,Assets/Prefab/Weapon/Aura.prefab,Assets/Art/Sprites/Weapon/Aura/aura.png
aura,Aura,守护光环,持续伤害靠近玩家的敌人,Aura,3,3,0.45,1,0,0,99999,0,0,None,1.7,0.45,1.7,180,0,0,1,90,0.18,Assets/Prefab/Weapon/Aura.prefab,Assets/Art/Sprites/Weapon/Aura/aura.png
aura,Aura,守护光环,持续伤害靠近玩家的敌人,Aura,4,3.5,0.4,1,0,0,99999,0,0,None,1.9,0.4,1.7,180,0,0,1,90,0.18,Assets/Prefab/Weapon/Aura.prefab,Assets/Art/Sprites/Weapon/Aura/aura.png
aura,Aura,守护光环,持续伤害靠近玩家的敌人,Aura,5,4.5,0.35,1,0,0,99999,0,0,None,2.2,0.35,1.7,180,0,0,1,90,0.18,Assets/Prefab/Weapon/Aura.prefab,Assets/Art/Sprites/Weapon/Aura/aura.png
orbiting_dagger,Knife,旋刃,召唤持续环绕玩家的小刀,Orbiting,1,6,0.5,1,0,0,99999,0,0,None,1,0.5,1.7,180,0,0,1,90,0.18,Assets/Prefab/Weapon/Knife.prefab,Assets/Art/Sprites/Weapon/Dagger/dagger.png
orbiting_dagger,Knife,旋刃,召唤持续环绕玩家的小刀,Orbiting,2,6,0.5,2,0,0,99999,0,0,None,1,0.5,1.7,180,0,0,1,90,0.18,Assets/Prefab/Weapon/Knife.prefab,Assets/Art/Sprites/Weapon/Dagger/dagger.png
orbiting_dagger,Knife,旋刃,召唤持续环绕玩家的小刀,Orbiting,3,8,0.5,2,0,0,99999,0,0,None,1,0.5,1.9,200,0,0,1,90,0.18,Assets/Prefab/Weapon/Knife.prefab,Assets/Art/Sprites/Weapon/Dagger/dagger.png
orbiting_dagger,Knife,旋刃,召唤持续环绕玩家的小刀,Orbiting,4,9,0.5,3,0,0,99999,0,0,None,1,0.5,2,210,0,0,1,90,0.18,Assets/Prefab/Weapon/Knife.prefab,Assets/Art/Sprites/Weapon/Dagger/dagger.png
